FECHA;AÑO;MES;DÍA;hora;Solar Rad (wat/m2);Temperature (*C);RH (%);Wind Dir (Deg);Wind Gust (km/h);Wind Speed (km/h);Rainfall (mm)
22/03/2013;2013;3;22;15:36;111,8;31,6;57,7;352;6;6;0
22/03/2013;2013;3;22;16:06;58,8;31,2;60,5;35;11;0;0
22/03/2013;2013;3;22;16:36;11,8;29,5;66;41;3;0;0
22/03/2013;2013;3;22;17:06;0;27,2;81,2;41;0;0;0
22/03/2013;2013;3;22;17:36;0;25,6;86,6;41;0;0;0
22/03/2013;2013;3;22;18:06;0;25,2;90,6;41;0;0;0
22/03/2013;2013;3;22;18:36;0;25,2;90,6;41;0;0;0
22/03/2013;2013;3;22;19:06;0;24,8;93,1;41;0;0;0
22/03/2013;2013;3;22;19:36;0;24;94,7;41;0;0;0
22/03/2013;2013;3;22;20:06;0;24,4;93,1;41;0;0;0
22/03/2013;2013;3;22;20:36;0;24;97,1;41;0;0;0
22/03/2013;2013;3;22;21:06;0;24,4;97,1;41;0;0;0
22/03/2013;2013;3;22;21:36;0;24,8;90,6;41;0;0;0
22/03/2013;2013;3;22;22:06;0;24,8;88,2;41;0;0;0
22/03/2013;2013;3;22;22:36;0;24,4;89;41;5;0;0
22/03/2013;2013;3;22;23:06;0;24,8;89,8;273;5;0;0
22/03/2013;2013;3;22;23:36;0;24,8;85,7;242;8;2;0
23/03/2013;2013;3;23;00:06;0;24;86,6;253;11;3;0
23/03/2013;2013;3;23;00:36;0;23,3;87,3;252;14;5;0
23/03/2013;2013;3;23;01:06;0;22,5;85,2;246;13;2;0
23/03/2013;2013;3;23;01:36;0;22,1;87,8;240;5;0;0
23/03/2013;2013;3;23;02:06;0;22,1;91,5;118;3;0;0
23/03/2013;2013;3;23;02:36;0;21,7;94,7;118;0;0;0
23/03/2013;2013;3;23;03:06;0;22,1;96,2;118;0;0;0
23/03/2013;2013;3;23;03:36;0;22,5;96,2;131;2;0;0
23/03/2013;2013;3;23;04:06;0;22,5;95,4;290;3;0;0
23/03/2013;2013;3;23;04:36;0;22,1;97,9;290;0;0;0
23/03/2013;2013;3;23;05:06;0;22,1;98,7;356;0;0;0
