"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.09.2019","100,68","100,83","101,83","100,13","-","0,08%"
"17.09.2019","100,60","103,60","104,05","99,98","-","-3,11%"
"16.09.2019","103,83","102,00","104,90","101,68","-","1,32%"
"13.09.2019","102,48","103,23","103,60","102,08","-","-0,97%"
"12.09.2019","103,48","102,68","103,85","101,18","-","3,33%"
"11.09.2019","100,15","101,15","101,15","101,15","0,00K","-1,60%"
"10.09.2019","101,78","98,68","102,25","98,03","-","3,02%"
"09.09.2019","98,80","96,88","99,20","95,38","-","2,07%"
"06.09.2019","96,80","95,18","97,35","95,03","-","1,81%"
"05.09.2019","95,08","96,88","97,45","95,08","-","-1,59%"
"04.09.2019","96,62","95,80","96,95","95,53","-","1,09%"
"03.09.2019","95,58","95,23","96,60","94,23","-","2,12%"
"30.08.2019","93,60","93,30","93,30","93,30","0,01K","1,85%"
"29.08.2019","91,90","93,35","93,35","93,35","0,01K","-2,44%"
"28.08.2019","94,20","93,00","93,90","92,85","0,01K","0,43%"
"27.08.2019","93,80","93,85","93,85","93,40","0,01K","-0,37%"
"26.08.2019","94,15","92,15","94,85","92,15","0,03K","1,67%"
"23.08.2019","92,60","92,85","92,85","92,00","0,02K","-0,96%"
"22.08.2019","93,50","93,15","93,60","92,25","0,11K","0,70%"
"21.08.2019","92,85","91,65","93,85","91,65","16,53K","1,53%"
"20.08.2019","91,45","91,35","91,80","89,60","12,09K","0,33%"
"19.08.2019","91,15","92,80","93,65","91,05","8,23K","-1,83%"
"16.08.2019","92,85","94,90","95,05","92,60","5,81K","-1,80%"
"15.08.2019","94,55","94,40","95,70","94,15","11,80K","0,11%"
"14.08.2019","94,45","95,85","96,40","94,00","17,29K","-1,97%"
"13.08.2019","96,35","93,70","96,60","93,15","30,65K","2,77%"
"12.08.2019","93,75","97,20","97,25","93,40","40,13K","-3,65%"
"09.08.2019","97,30","97,20","98,10","96,65","31,11K","-0,10%"
"08.08.2019","97,40","97,40","98,90","96,55","35,70K","0,52%"
"07.08.2019","96,90","96,80","97,70","96,05","25,95K","-0,15%"
"06.08.2019","97,05","95,75","97,75","95,20","26,45K","1,46%"
"05.08.2019","95,65","98,30","98,70","94,30","24,43K","-2,55%"
"02.08.2019","98,15","97,15","98,95","96,75","24,20K","0,93%"
"01.08.2019","97,25","97,85","98,45","96,40","24,41K","-2,41%"
"31.07.2019","99,65","99,10","100,45","98,10","24,47K","0,15%"
"30.07.2019","99,50","101,05","101,15","98,80","19,26K","-1,63%"
"29.07.2019","101,15","99,75","102,45","98,75","25,63K","1,40%"
"26.07.2019","99,75","100,60","102,65","99,05","27,62K","-0,89%"
"25.07.2019","100,65","101,35","101,65","100,30","20,32K","-0,35%"
"24.07.2019","101,00","102,45","103,65","100,55","31,14K","-1,27%"
"23.07.2019","102,30","105,15","105,60","102,15","26,11K","-2,66%"
"22.07.2019","105,10","106,70","108,00","105,00","19,29K","-1,89%"
"19.07.2019","107,12","108,68","109,88","107,03","-","-0,03%"
"18.07.2019","107,15","105,30","105,30","105,30","0,00K","-0,21%"
"17.07.2019","107,38","106,35","107,90","105,50","-","1,27%"
"16.07.2019","106,03","110,18","110,18","105,45","-","-3,59%"
"15.07.2019","109,98","106,55","110,65","104,53","-","3,19%"
"12.07.2019","106,58","107,20","107,88","106,08","-","1,02%"
"11.07.2019","105,50","106,05","106,05","106,05","0,00K","-0,50%"
"10.07.2019","106,03","107,68","109,30","105,58","-","-1,82%"
"09.07.2019","108,00","106,43","108,30","105,35","-","3,10%"
"08.07.2019","104,75","113,05","113,05","105,50","0,03K","-4,29%"
"05.07.2019","109,45","112,55","112,55","110,40","0,02K","-2,49%"
"03.07.2019","112,25","110,10","112,15","108,30","0,01K","3,70%"
"02.07.2019","108,25","110,35","110,35","108,60","0,09K","-1,72%"
"01.07.2019","110,15","112,55","112,55","109,60","0,05K","1,76%"
"28.06.2019","108,25","106,90","109,00","106,35","0,05K","2,56%"
"27.06.2019","105,55","105,20","105,80","105,00","0,02K","0,62%"
"26.06.2019","104,90","104,70","107,15","104,45","0,05K","-1,46%"
"25.06.2019","106,45","103,00","105,35","103,00","0,09K","4,36%"
"24.06.2019","102,00","99,30","102,40","99,00","0,22K","2,20%"
"21.06.2019","99,80","102,05","102,05","99,40","0,28K","-1,24%"
"20.06.2019","101,05","98,00","101,10","98,00","1,25K","4,99%"
"19.06.2019","96,25","94,45","97,45","94,35","9,59K","2,07%"
"18.06.2019","94,30","95,85","96,00","94,00","9,77K","-1,82%"
"17.06.2019","96,05","95,80","96,80","94,85","15,75K","0,05%"
"14.06.2019","96,00","97,40","98,00","95,85","27,58K","-1,39%"
"13.06.2019","97,35","99,10","99,70","97,30","28,59K","-1,72%"
"12.06.2019","99,05","97,15","99,20","96,75","31,37K","2,11%"
"11.06.2019","97,00","98,10","100,45","96,85","39,47K","-1,62%"
"10.06.2019","98,60","100,15","100,75","98,00","46,33K","-2,33%"
"07.06.2019","100,95","102,05","103,30","100,05","35,11K","-1,08%"
"06.06.2019","102,05","99,00","102,55","98,60","36,39K","2,98%"
"05.06.2019","99,10","105,35","105,60","97,90","60,42K","-6,20%"
"04.06.2019","105,65","103,25","106,15","102,70","43,49K","1,83%"
"03.06.2019","103,75","104,85","105,65","103,00","54,97K","-0,81%"
"31.05.2019","104,60","102,10","105,30","99,05","47,25K","2,20%"
"30.05.2019","102,35","100,15","102,75","99,50","51,09K","2,86%"
"29.05.2019","99,50","96,65","100,25","95,95","40,28K","3,59%"
"28.05.2019","96,05","93,20","96,45","92,65","36,41K","2,95%"
"24.05.2019","93,30","93,50","95,00","92,60","27,51K","-0,21%"
"23.05.2019","93,50","91,60","94,00","90,20","30,16K","1,91%"
